	uniprot_accession	time_point	Ratio	changed	total	changed_nodes	other_nodes	OddsRatio	pValue	FDR_BH	pop_changed	pop_total
Q9Y6L7_iPS	Q9Y6L7	iPS	0.0	0	2		P15260,P53609	0.0	1.0	1.0	5	19
P04731_EB	P04731	EB	0.0	0	3		P05412,P17787,Q96G27	0.0	1.0	1.0	3	19
P05412_EB	P05412	EB	0.0	0	4		P04731,P53609,Q96G27,Q96S96	0.0	1.0	1.0	3	19
P17787_EB	P17787	EB	0.0	0	3		O00221,P04731,Q96S96	0.0	1.0	1.0	3	19
Q02575_EB	Q02575	EB	0.3333333333333333	1	3	P40425	P53609,Q9UKT8	3.5	0.42208462332301344	1.0	3	19
Q13323_EB	Q13323	EB	0.25	1	4	P40425	O00221,P15260,Q9Y6J9	2.1666666666666665	0.5304437564499483	1.0	3	19
